6-beta-d-fructofuranosylfructohydrolase,['1-17846.html']
32160,['1-17842.html']
beta-26-fructan-6-levanbiohydrolase,['1-17846.html']
influenza,['1-17831.html']
enzymes,['1-17831.html']
arabinosidase,['1-17853.html']
endo-13-beta-xylanase,['1-17832.html']
beta-13'-xylanase,['1-17849.html']
32183,['1-17850.html']
beta-16-glucanase-pustulanase,['1-17851.html']
alpha-16-glucanohydrolase,['1-17848.html']
alpha-arabinosidase,['1-17853.html']
sweeteners,['1-17848.html']
hydrolysis,['1-17852.html']
lysosomal,['1-17835.html']
specifically,['1-17848.html']
14-alpha-maltotetraohydrolase,['1-17842.html']
32155,['1-17853.html']
6-alpha-glucohydrolase,['1-17830.html']
1-&gt;3-1-&gt;4-alpha-d-glucan,['1-17844.html']
32138,['1-17837.html']
endoglycosidase,['1-17833.html']
beta,['1-17835.html']
l-iduronidase,['1-17852.html']
13-beta-d-xylan,"['1-17832.html', '1-17849.html']"
family,"['1-17831.html', '1-17833.html']"
beta-d-fucoside,['1-17837.html']
lactosylceramides,['1-17834.html']
endo-13-alpha-glucosidase,['1-17845.html']
mycodextranase,['1-17844.html']
β-galactosidase,['1-17834.html']
exo-13-beta-glucosidase,['1-17843.html']
amylo-16-glucosidase,['1-17830.html']
alpha-l-arabinanase,['1-17853.html']
cariogenase,['1-17845.html']
debranching,['1-17848.html']
mammalian,['1-17831.html']
acid,['1-17833.html']
13-beta-xylosidase,['1-17849.html']
neuraminidase,['1-17831.html']
32164,['1-17846.html']
xylan,"['1-17832.html', '1-17849.html']"
glucohydrolase,['1-17843.html']
kind,['1-17848.html']
fucoidanase,['1-17840.html']
dextrin-16-glucosidase,['1-17830.html']
containing,['1-17834.html']
2-&gt;6-beta-d-fructofuranan,['1-17846.html']
karl,['1-17833.html']
glycoside,['1-17834.html']
types,['1-17833.html']
alpha-l-arabinofuranosidase,['1-17853.html']
kappa-carrageenan,['1-17850.html']
exo-maltotetraohydrolase,['1-17842.html']
13-xylanase,['1-17832.html']
alpha-16-glucohydrolase,['1-17830.html']
levanbiose-producing,['1-17846.html']
13-14-alpha-d-glucan,['1-17844.html']
endo-1-&gt;3-alpha-glucanase,['1-17845.html']
14-alpha-galacturonidase,['1-17847.html']
name,"['1-17830.html', '1-17832.html', '1-17835.html', '1-17837.html', '1-17838.html', '1-17840.html', '1-17842.html', '1-17843.html', '1-17844.html', '1-17845.html', '1-17846.html', '1-17849.html', '1-17850.html', '1-17851.html', '1-17852.html', '1-17853.html']"
lactose,['1-17834.html']
glucanohydrolase,['1-17851.html']
scheme,['1-17833.html']
32161,['1-17844.html']
distinct,['1-17833.html']
3-alpha-d-glucan,['1-17845.html']
lipoprotein,['1-17848.html']
ec,"['1-17830.html', '1-17831.html', '1-17832.html', '1-17833.html', '1-17835.html', '1-17836.html', '1-17837.html', '1-17838.html', '1-17839.html', '1-17840.html', '1-17841.html', '1-17842.html', '1-17843.html', '1-17844.html', '1-17845.html', '1-17846.html', '1-17847.html', '1-17848.html', '1-17849.html', '1-17850.html', '1-17851.html', '1-17852.html', '1-17853.html']"
poly1-&gt;2-alpha-l-fucoside-4-sulfate,['1-17840.html']
neuraminidases,['1-17831.html']
pullulanase,['1-17848.html']
aid,['1-17848.html']
chemical,"['1-17830.html', '1-17832.html', '1-17835.html', '1-17837.html', '1-17838.html', '1-17840.html', '1-17842.html', '1-17843.html', '1-17844.html', '1-17845.html', '1-17846.html', '1-17849.html', '1-17850.html', '1-17851.html', '1-17853.html']"
acids,['1-17831.html']
1971,['1-17833.html']
l-arabinosidase,['1-17853.html']
sulfate,['1-17852.html']
6-glucanohydrolase,"['1-17848.html', '1-17851.html']"
used,"['1-17831.html', '1-17848.html']"
genome,['1-17831.html']
beta-13-xylanase,['1-17832.html']
13-beta-xylanase,['1-17832.html']
lyase-type,['1-17833.html']
ganglioside,['1-17834.html']
type,['1-17848.html']
confer,['1-17831.html']
hydrolases,['1-17833.html']
phosphorylase-limit,['1-17830.html']
exo,['1-17843.html']
alpha-l-iduronosidic,['1-17852.html']
endo-beta-13-xylanase,['1-17832.html']
humans,['1-17835.html']
6-beta-d-glucan,['1-17851.html']
human,['1-17831.html']
32140,['1-17838.html']
beta-1-&gt;6-beta-d-glucanase,['1-17851.html']
alpha-n-arabinofuranosidase,['1-17853.html']
13-beta-glucosidase,['1-17843.html']
levanase,['1-17846.html']
mannanase,['1-17835.html']
alpha-l-arabinosidase,['1-17853.html']
endo-13-alpha-d-glucanase,['1-17845.html']
poly12-alpha-l-fucoside-4-sulfate,['1-17840.html']
32151,['1-17836.html']
frequently,['1-17831.html']
endo-16-beta-glucosidase,['1-17851.html']
kappa-carrageenase,['1-17850.html']
3-beta-d-xylan,"['1-17832.html', '1-17849.html']"
alpha-l-arabinofuranoside,['1-17853.html']
encoded,['1-17835.html']
32142,['1-17839.html']
two,['1-17833.html']
glycosidic,['1-17834.html']
beta-mannosidase,['1-17835.html']
beta-d-mannoside,['1-17835.html']
limit,['1-17848.html']
cariogenanase,['1-17845.html']
beta-16-glucan,['1-17851.html']
bond,['1-17834.html']
drug,['1-17831.html']
alpha-l-iduronohydrolase,['1-17852.html']
reaction,"['1-17830.html', '1-17832.html', '1-17833.html', '1-17835.html', '1-17836.html', '1-17837.html', '1-17838.html', '1-17839.html', '1-17840.html', '1-17841.html', '1-17842.html', '1-17843.html', '1-17844.html', '1-17845.html', '1-17846.html', '1-17847.html', '1-17849.html', '1-17850.html', '1-17851.html', '1-17853.html']"
alpha-l-iduronidase,['1-17852.html']
neu2,['1-17831.html']
32125,['1-17835.html']
klebsiella,['1-17848.html']
alpha-l-rhamnosidase,['1-17838.html']
eukaryotic,['1-17833.html']
32159,['1-17845.html']
others,['1-17831.html']
4-beta-d-glycanohydrolase,['1-17850.html']
based,['1-17833.html']
32158,['1-17843.html']
main,['1-17833.html']
neu4,['1-17831.html']
endo-13-alpha-glucanase,['1-17845.html']
called,['1-17834.html']
target,['1-17831.html']
classes,['1-17833.html']
neu3,['1-17831.html']
four,['1-17831.html']
surface-anchored,['1-17848.html']
xylohydrolase,['1-17849.html']
spread,['1-17831.html']
gene,['1-17835.html']
meyer,['1-17833.html']
32118,['1-17831.html']
xylanase,['1-17832.html']
beta-13-glucan,['1-17843.html']
determinants,['1-17831.html']
exo-beta-d-mannanase,['1-17835.html']
endo-16-alpha-glucosidase,['1-17848.html']
dextrin,['1-17830.html']
processing,['1-17848.html']
substrates,['1-17834.html']
best-known,['1-17831.html']
linkages,"['1-17831.html', '1-17848.html', '1-17852.html']"
iduronidase,['1-17852.html']
α-14,['1-17848.html']
laronidase,['1-17852.html']
3-glucanohydrolase,['1-17845.html']
beta-fucosidase,['1-17837.html']
fucohydrolase,['1-17837.html']
xylanohydrolase,['1-17832.html']
different,['1-17834.html']
beta-d-fucosidase,['1-17837.html']
32172,['1-17849.html']
neu1,['1-17831.html']
beta-gal,['1-17834.html']
able,['1-17848.html']
32144,['1-17840.html']
glucan,"['1-17842.html', '1-17843.html', '1-17845.html', '1-17851.html']"
bacteria,['1-17848.html']
glycosaminoglycan,['1-17852.html']
hyaluronic,['1-17833.html']
enzyme,"['1-17830.html', '1-17832.html', '1-17834.html', '1-17835.html', '1-17837.html', '1-17838.html', '1-17839.html', '1-17840.html', '1-17841.html', '1-17842.html', '1-17843.html', '1-17844.html', '1-17845.html', '1-17846.html', '1-17847.html', '1-17848.html', '1-17849.html', '1-17850.html', '1-17851.html', '1-17852.html', '1-17853.html']"
biotechnology,['1-17848.html']
6-beta-d-fructosyl-d-fructose-hydrolase,['1-17846.html']
6-alpha-d-glucosidase,['1-17830.html']
32167,['1-17847.html']
amylo-alpha-16-glucosidase,['1-17830.html']
hydrolase,"['1-17831.html', '1-17834.html', '1-17851.html', '1-17853.html']"
4-alpha-d-glucan,['1-17842.html']
alpha-dextrin,['1-17848.html']
